d,n,p,g,n7,n7g,n7g6
2020-12-06,2065,8932664,251984,3293.57142857143,0.967310304862959,0.96130264710122
2020-12-07,2512,8932664,256564,3170.57142857143,0.957275539712237,0.963299030872328
2020-12-08,2632,8932664,260946,2984.71428571429,0.951866912108276,0.966273667806657
2020-12-09,2481,8932664,264852,2829,0.956295723390008,0.970469826204292
2020-12-10,3085,8932664,268886,2747.42857142857,0.966309390381186,0.975316356062577
2020-12-11,2837,8932664,272715,2639.71428571429,0.981538061716842,0.979818293321678
2020-12-12,2636,8932664,276027,2606.85714285714,0.998971915139188,0.983916293275153
2020-12-13,2500,8932664,278761,2669,1.01095802648498,0.98614913616818
2020-12-14,2741,8932664,282019,2701.71428571429,1.0093220919827,0.985052586120027
2020-12-15,2755,8932664,285801,2719.28571428571,0.9925023535352,0.980930126212237
2020-12-16,2388,8932664,288894,2706,0.973104179558354,0.974898939327991
2020-12-17,1950,8932664,291935,2543.85714285714,0.955390332238778,0.970122549284432
2020-12-18,2151,8932664,294873,2445.85714285714,0.943493541639213,0.96655593083325
2020-12-19,1505,8932664,297332,2284.28571428571,0.94053110881268,0.963700256495881
2020-12-20,1353,8932664,299870,2120.42857142857,0.947632008124394,0.964041594829488
2020-12-21,2107,8932664,302814,2029.85714285714,0.973598006146296,0.968070853750567
2020-12-22,2557,8932664,306059,2001.57142857143,0.997127984534453,0.973905482031627
2020-12-23,2852,8932664,309193,2067.85714285714,0.995010388285172,0.980295721492141
2020-12-24,1805,8932664,311791,2047.14285714286,0.977584153553811,0.984414936684381
2020-12-25,1286,8932664,314077,1923.57142857143,0.973446850019613,0.989609411867554
2020-12-26,1163,8932664,316014,1874.71428571429,0.989657647448071,0.995744990776821
2020-12-27,1697,8932664,317958,1923.85714285714,1.0099492578505,1.00086681874521
2020-12-28,2126,8932664,319980,1926.57142857143,1.01333557468631,1.00461821342208
2020-12-29,2974,8932664,322066,1986.14285714286,1.00939147868167,1.00752796946522
2020-12-30,2712,8932664,324224,1966.14285714286,1.01013045213309,1.01074977369807
2020-12-31,2003,8932664,326301,1994.42857142857,1.01596783684057,1.01256022394157
2021-01-01,1591,8932664,328673,2038,1.02301451820267,1.01196824414144
2021-01-02,1637,8932664,330920,2105.71428571429,1.0209479982304,1.01061898098809
2021-01-03,1896,8932664,332872,2134.14285714286,1.01347166468027,1.0086490696366
2021-01-04,2294,8932664,334917,2158.14285714286,0.998625858886901,1.0053301237517
2021-01-05,2958,8932664,337081,2155.85714285714,0.987526611660588,1.00154830874896
2021-01-06,2086,8932664,338923,2066.42857142857,0.993609655861457,0.997289198723518
2021-01-07,2000,8932664,341187,2066,1.00781849729747,0.993645245127224
2021-01-08,2296,8932664,343770,2166.71428571429,1.00816506023504,0.98855074647119
2021-01-09,1550,8932664,345861,2154.28571428571,0.987882022523311,0.981778785107691
2021-01-10,1386,8932664,347746,2081.42857142857,0.965038025797672,0.975660798523391
2021-01-11,1706,8932664,350013,1997.42857142857,0.956552969098733,0.970737274105612
2021-01-12,2162,8932664,352068,1883.71428571429,0.95706627218073,0.967810755971107
2021-01-13,1655,8932664,354191,1822.14285714286,0.957426017671957,0.964990859013191
2021-01-14,1535,8932664,356238,1755.71428571429,0.95905012601133,0.963860364268719
2021-01-15,1557,8932664,358461,1650.14285714286,0.961352883207272,0.966665374325098
2021-01-16,1322,8932664,360279,1617.57142857143,0.97083801300893,0.971277806480608
2021-01-17,1011,8932664,361963,1564,0.975514795962977,0.976286468968938
2021-01-18,1630,8932664,363872,1553.14285714286,0.977834173940323,0.981268872706829
2021-01-19,1656,8932664,365730,1480.85714285714,0.989693988069295,0.985621577639353
2021-01-20,1741,8932664,367354,1493.14285714286,1.00118263927479,0.990065227431333
2021-01-21,1791,8932664,368931,1529.71428571429,1.00526748188928,0.992291521465916
